13-12-2018 05:42:54 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 05:42:57 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 05:43:03 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 05:43:05 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 05:43:13 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 05:49:37 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:00:21 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:01:26 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:02:31 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:04:11 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:05:28 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:06:19 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
